"CubeId";"snbbipo"
"PublishingDate";"2017-02-28 09:00"

"Date";"D0";"Value"
"2006-07";"RIWF";"717.80255569"
"2006-07";"W";"192.74464474"
"2006-07";"WSF";"5207.57151419"
"2006-07";"UA";"867.52983358"
"2006-07";"T0";"101921.32504168"
"2006-08";"GFG";"31240.86414988"
"2006-08";"D";"43671.08775046"
"2006-08";"RIWF";"717.90255569"
"2006-08";"W";"192.74464474"
"2006-08";"WSF";"5115.13491214"
"2006-08";"UA";"869.18999934"
"2006-08";"T0";"102074.4632956"
"2006-09";"GFG";"31227.87958955"
"2006-09";"D";"45400.00708064"
"2006-09";"RIWF";"728.1897895"
"2006-09";"W";"196.69743475"
"2006-09";"WSF";"5199.1654275"
"2006-09";"UA";"877.02588029"
"2006-09";"T0";"104811.58414413"
"2006-10";"GFG";"31190.39373848"
"2006-10";"D";"45309.20358793"
"2006-10";"RIWF";"658.5929601"
"2006-10";"W";"194.76534905"
"2006-10";"WSF";"5067.5822197"
"2006-10";"UA";"843.50678196"
"2006-10";"T0";"102808.27660322"
"2006-11";"GFG";"31210.83942344"
"2006-11";"D";"45557.7212576"
"2006-11";"RIWF";"556.58601386"
"2006-11";"W";"242.4623256"
"2006-11";"WSF";"4964.0706285"
"2006-11";"UA";"828.22148431"
"2006-11";"T0";"105613.39209176"
"2006-12";"GFG";"32220.53617655"
"2006-12";"D";"45591.92103793"
"2006-12";"RIWF";"557.32088438"
"2006-12";"W";"236.62716047"
"2006-12";"WSF";"4907.6099613"
"2006-12";"UA";"836.76482818"
"2006-12";"T0";"111813.49592025"
"2007-01";"GFG";"32170.99411934"
"2007-01";"D";"45284.99194509"
"2007-01";"RIWF";"565.47293165"
"2007-01";"W";"236.00061987"
"2007-01";"WSF";"4838.96913265"
"2007-01";"UA";"841.5357229"
"2007-01";"T0";"105766.43119652"
"2007-02";"GFG";"32206.35544058"
"2007-02";"D";"44976.47960516"
"2007-02";"RIWF";"557.39634521"
"2007-02";"W";"236.00061987"
"2007-02";"WSF";"4793.00971628"
"2007-02";"UA";"834.52431223"
"2007-02";"T0";"106645.92081735"
"2007-03";"GFG";"33557.67786277"
"2007-03";"D";"45398.11360561"
"2007-03";"RIWF";"557.77688878"
"2007-03";"W";"238.77586953"
"2007-03";"WSF";"4709.2655199"
"2007-03";"UA";"837.43232872"
"2007-03";"T0";"109365.4716361"
"2007-04";"GFG";"33515.86767422"
"2007-04";"D";"44733.35382099"
"2007-04";"RIWF";"486.39345702"
"2007-04";"W";"240.82614933"
"2007-04";"WSF";"4546.67650866"
"2007-04";"UA";"789.02434298"
"2007-04";"T0";"107134.52535075"
"2007-05";"GFG";"33527.10420611"
"2007-05";"D";"44908.54014409"
"2007-05";"RIWF";"490.99707271"
"2007-05";"W";"239.56690493"
"2007-05";"WSF";"4523.69472522"
