"CubeId";"devkum"
"PublishingDate";"2017-03-01 14:30"

"Date";"D0";"D1";"Value"
"1999-07";"M0";"DKK100";"21.5595"
"1999-07";"M0";"NOK100";"19.6095"
"1999-07";"M0";"CZK100";"4.4021"
"1999-07";"M0";"HUF100";"0.6414"
"1999-07";"M0";"PLN100";"39.9777"
"1999-07";"M0";"RUB100";"6.3473"
"1999-07";"M0";"SEK100";"18.3291"
"1999-07";"M0";"TRY100";"0.000362"
"1999-07";"M0";"USD1";"1.5499"
"1999-07";"M0";"CAD1";"1.0431"
"1999-07";"M0";"ARS100";"155.0209"
"1999-07";"M0";"BRL100";"86.1436"
"1999-07";"M0";"MXN100";"16.5618"
"1999-07";"M0";"ZAR1";"0.2536"
"1999-07";"M0";"JPY100";"1.295018"
"1999-07";"M0";"AUD1";"1.018823"
"1999-07";"M0";"CNY100";"18.6885"
"1999-07";"M0";"HKD100";"19.972909"
"1999-07";"M0";"KRW100";"0.1307"
"1999-07";"M0";"MYR100";"40.7864"
"1999-07";"M0";"NZD1";"0.8157"
"1999-07";"M0";"SGD100";"91.4527"
"1999-07";"M0";"THB100";"4.1794"
"1999-07";"M0";"XDR1";"2.074842"
"1999-07";"M1";"EUR1";"1.5961"
"1999-07";"M1";"GBP1";"2.415"
"1999-07";"M1";"DKK100";"21.44"
"1999-07";"M1";"NOK100";"19.14"
"1999-07";"M1";"CZK100";"4.3528"
"1999-07";"M1";"HUF100";"0.629"
"1999-07";"M1";"PLN100";"38.67"
"1999-07";"M1";"RUB100";"6.12"
"1999-07";"M1";"SEK100";"18.19"
"1999-07";"M1";"TRY100";"0.0003473"
"1999-07";"M1";"USD1";"1.4897"
"1999-07";"M1";"CAD1";"0.9902"
"1999-07";"M1";"ARS100";"149.03"
"1999-07";"M1";"BRL100";"82.67"
"1999-07";"M1";"MXN100";"15.86"
"1999-07";"M1";"ZAR1";"0.242"
"1999-07";"M1";"JPY100";"1.293"
"1999-07";"M1";"AUD1";"0.9713"
"1999-07";"M1";"CNY100";"18.03"
"1999-07";"M1";"HKD100";"19.1935"
"1999-07";"M1";"KRW100";"0.1238"
"1999-07";"M1";"MYR100";"39.2"
"1999-07";"M1";"NZD1";"0.7897"
"1999-07";"M1";"SGD100";"88.5672"
"1999-07";"M1";"THB100";"4.01"
"1999-07";"M1";"XDR1";"2.0399"
"1999-08";"M0";"EUR1";"1.6003"
"1999-08";"M0";"GBP1";"2.4231"
"1999-08";"M0";"DKK100";"21.5109"
"1999-08";"M0";"NOK100";"19.3568"
"1999-08";"M0";"CZK100";"4.3971"
"1999-08";"M0";"HUF100";"0.6313"
"1999-08";"M0";"PLN100";"38.1795"
"1999-08";"M0";"RUB100";"6.0532"
"1999-08";"M0";"SEK100";"18.2636"
"1999-08";"M0";"TRY100";"0.000345"
"1999-08";"M0";"USD1";"1.5089"
"1999-08";"M0";"CAD1";"1.0102"
"1999-08";"M0";"ARS100";"150.9214"
"1999-08";"M0";"BRL100";"80.3"
"1999-08";"M0";"MXN100";"16.0832"
"1999-08";"M0";"ZAR1";"0.2459"
"1999-08";"M0";"JPY100";"1.331577"
"1999-08";"M0";"AUD1";"0.972045"
"1999-08";"M0";"CNY100";"18.24086364"
"1999-08";"M0";"HKD100";"19.436127"
"1999-08";"M0";"KRW100";"0.1261"
"1999-08";"M0";"MYR100";"39.7086"
"1999-08";"M0";"NZD1";"0.7933"
"1999-08";"M0";"SGD100";"89.9076"
"1999-08";"M0";"THB100";"3.9689"
"1999-08";"M0";"XDR1";"2.058582"
"1999-08";"M1";"EUR1";"1.6003"
"1999-08";"M1";"GBP1";"2.4271"
"1999-08";"M1";"DKK100";"21.52"
"1999-08";"M1";"NOK100";"19.27"
"1999-08";"M1";"CZK100";"4.3858"
"1999-08";"M1";"HUF100";"0.6325"
"1999-08";"M1";"PLN100";"38.27"
"1999-08";"M1";"RUB100";"5.96"
"1999-08";"M1";"SEK100";"18.34"
"1999-08";"M1";"TRY100";"0.0003413"
"1999-08";"M1";"USD1";"1.5192"
"1999-08";"M1";"CAD1";"1.0175"
"1999-08";"M1";"ARS100";"151.94"
"1999-08";"M1";"BRL100";"79.25"
"1999-08";"M1";"MXN100";"16.26"
"1999-08";"M1";"ZAR1";"0.2495"
"1999-08";"M1";"JPY100";"1.3792"
"1999-08";"M1";"AUD1";"0.9688"
"1999-08";"M1";"CNY100";"18.252"
