Date,ChfEuroExchangerateMonthlyAverage,ChfEuroExchangerateMonthlyEnd,ChfDollarExchangerateMonthlyAverage,ChfDollarExchangerateMonthlyEnd,ForeignCurrencyInvestments,GoldHoldings,ReservePositionsIMF,CHFsecurities,MonetaryAssistanceLoans,OtherAssets,TotalAssets,ConsumerPriceIndex,BusinessConfidenceIndex,CallMoneyRate,EuroGDP,SwissGDP
2005-10,1.5489,1.545,1.288,1.2788,45047.80639398,25411.1080465,1519.88781951,5679.6173693,278.22377152,963.2174087,98408.17524168,1.33317,100.6992,0.61,2152910.2,129579.6
2005-11,1.5452,1.5482,1.3098,1.3142,45428.6636823,25407.33169332,1444.82096394,5680.61791381,273.13284652,957.94580468,101918.26064751,0.9515855,100.8855,0.63,2161298.66800812,130391.140411151
2005-12,1.5478,1.5561,1.3047,1.3152,46585.45717095,28050.20195406,1079.79757579,5729.0637506,270.20697654,990.63096152,108988.20997797,1.006393,101.0843,0.63,2169591.82589091,131225.178246577
2006-01,1.5491,1.5538,1.2779,1.2839,46068.0245912,27991.16923122,733.75135348,5619.53453175,181.72471357,885.14711341,102536.00993654,1.29081,101.298,0.75,2179117.4,131983.8
2006-02,1.5578,1.5655,1.3041,1.3181,45665.95910794,28006.9834562,733.85135348,5506.52982235,181.72471357,894.45008041,104531.75085746,1.383652,101.5127,0.91,2190680.3765685,132596.431657534
2006-03,1.5688,1.5796,1.3047,1.303,45552.74755576,31561.43189638,725.63346618,5336.5410801,192.78716494,933.19022765,108898.45240167,1.028831,101.6943,1.03,2202994.78135516,133101.857174849
2006-04,1.5749,1.5755,1.2834,1.2555,44755.50757706,31513.94223186,720.93022143,5338.1437521,191.10552204,865.27542178,106142.17002296,1.059177,101.8297,1.22,2214251.9,133566.2
2006-05,1.5565,1.5582,1.2188,1.2114,44539.25603847,31466.59413671,739.25026253,5369.13837576,204.33026405,865.96597858,103549.94919788,1.361888,101.8647,1.16,2223234.81460669,134048.807032784
2006-06,1.56,1.5673,1.2324,1.2326,43785.35250747,31279.06712051,720.18205479,5303.98785395,196.74207294,927.33750003,103753.89518961,1.562134,101.8529,1.27,2231093.79313296,134581.918979954
2006-07,1.5686,1.5726,1.2363,1.2327,43614.46608432,31238.86676496,717.80255569,5207.57151419,192.74464474,867.52983358,101921.32504168,1.424719,101.8644,1.3,2239570.9,135191
2006-08,1.5775,1.576,1.2305,1.2264,43671.08775046,31240.86414988,717.90255569,5115.13491214,192.74464474,869.18999934,102074.4632956,1.452136,101.9265,1.33,2250008.2761158,135892.177248365
2006-09,1.5837,1.5868,1.2433,1.2528,45400.00708064,31227.87958955,728.1897895,5199.1654275,196.69743475,877.02588029,104811.58414413,0.793958,102.0947,1.61,2262148.36833528,136664.2298683
2006-10,1.5897,1.5881,1.26,1.251,45309.20358793,31190.39373848,658.5929601,5067.5822197,194.76534905,843.50678196,102808.27660322,0.2587231,102.2974,1.59,2275333.7,137476.6
2006-11,1.5922,1.5917,1.2358,1.2061,45557.7212576,31210.83942344,556.58601386,4964.0706285,242.4623256,828.22148431,105613.39209176,0.4976379,102.4313,1.87,2288868.2290782,138302.90249227
2006-12,1.5966,1.6059,1.2078,1.2192,45591.92103793,32220.53617655,557.32088438,4907.6099613,236.62716047,836.76482818,111813.49592025,0.6210557,102.5245,1.94,2301901.6520445,139133.443028331
2007-01,1.6157,1.6242,1.2439,1.2557,45284.99194509,32170.99411934,565.47293165,4838.96913265,236.00061987,841.5357229,105766.43119652,0.1021764,102.6335,2.02,2313545.1,139962.7
2007-02,1.6213,1.6128,1.2402,1.2222,44976.47960516,32206.35544058,557.39634521,4793.00971628,236.00061987,834.52431223,106645.92081735,-0.01144142,102.7207,1.94,2323178.44831206,140782.935004773
2007-03,1.6126,1.6247,1.218,1.2205,45398.11360561,33557.67786277,557.77688878,4709.2655199,238.77586953,837.43232872,109365.4716361,0.1727158,102.6729,1.98,2331256.54941269,141577.542462826
